island,island_id,sex,gravid,morph,capture_temp,substrate_temp,time_of_capture,scars,ticks,mites,mass,svl,autotomy,lat,long,elevation_m,capture_date,,,,,
naxos,1,m,,o,22.4,28.5,8:40,0,1,15,6.9,63.34,0,37.07996523,25.4908564,334,2022.05.19,,,,,
naxos,3,m,,w,29.3,30.6,9:15,0,1,0,6.7,55.82,1,37.08065084,25.49136892,337,2022.05.19,,,,,
naxos,4,m,,y,19.2,29.1,9:25,2,10,0,9.1,66.86,0,37.08057808,25.49168274,339,2022.05.19,,,,,
naxos,5,m,,y,18.3,20.1,8:26,0,0,0,8.1,65.89,1,37.08044182699276,25.49093903546213,336,2022.05.20,,,,,
naxos,6,m,,y,18.7,22.7,9:48,1,0,0,5.8,58.63,0,37.080506022133356,25.490863933607756,336,2022.05.20,,,,,
naxos,7,m,,o,18.5,22,10:18,7,8,19,6.1,63.54,1,37.08018718572545,25.490914895563023,336,2022.05.20,,,,,
naxos,8,f,y,w,25.3,27.2,10:27,5,0,0,6.3,64.69,1,37.08024710139295,25.491014137294634,334,2022.05.20,,,,,
naxos,9,m,,o,23.5,31.2,10:37,3,4,0,7.8,65.75,1,37.0798099,25.49062183,335,2022.05.20,,,,,
naxos,10,f,y,y,19.1,18.3,8:50,10,0,0,7.4,66.87,0,37.08064748,25.49109403,338,2022.05.20,,,,,
naxos,11,f,y,w,16.1,35.5,9:21,3,0,0,6.4,63.48,1,37.080707355545414,25.490821693134794,338,2022.05.20,,,,,
naxos,13,m,,o,19.2,24.3,9:52,9,2,0,7.7,64.99,0,37.0806797091053,25.491176622632523,338,2022.05.20,,,,,
naxos,15,m,,y,16.1,32.5,10:25,2,0,0,7.9,63.88,1,37.080591975935754,25.49083598208938,339,2022.05.20,,,,,
naxos,16,m,,o,15.2,27.7,10:40,4,4,0,7.8,65.61,1,37.08077992078909,25.491207256370632,335,2022.05.20,,,,,
naxos,17,f,y,o,21.5,28.8,10:52,4,0,0,6.2,64.88,0,37.080852674953185,25.49094976429848,340,2022.05.20,,,,,
naxos,18,f,n,w,26.5,37.9,10:35,4,2,0,5.3,62.03,1,37.07977740409493,25.490822359366938,333,2022.05.21,,,,,
naxos,19,f,y,w,28.9,29.3,9:12,9,3,12,5.2,65.89,1,37.08038619115274,25.490885391264435,334,2022.05.21,,,,,
naxos,20,m,,w,31.9,35.1,10:50,8,0,0,7.3,62.03,1,37.08044182698523,25.490877344637546,334,2022.05.21,,,,,
naxos,21,m,,w,21,31,8:40,9,0,0,5.6,57.79,1,37.07999459933068,25.490694954428097,334,2022.05.21,,,,,
naxos,22,m,,w,30.2,33,8:45,3,0,0,7.6,63.78,1,37.08004167605012,25.4908880734734,332,2022.05.21,,,,,
naxos,23,f,n,y,27.3,33,9:15,5,21,0,4.5,57.8,1,37.08028347873937,25.491126790071057,334,2022.05.21,,,,,
naxos,24,m,,y,29.9,35.2,10:20,0,4,0,7.5,64.07,0,37.08030701701307,25.491129472280022,334,2022.05.21,,,,,
naxos,25,m,,y,33.1,30.2,10:40,1,7,0,7,62.43,1,37.080264220146375,25.49108655693662,334,2022.05.21,,,,,
naxos,26,m,,o,22.9,21.5,10:07,3,0,0,7.6,60.86,0,37.0795923061722,25.490614488159224,333,2022.05.21,,,,,
naxos,27,m,,y,33.9,28.4,9:56,2,5,18,8,66.36,1,37.08034981385561,25.490670814547435,335,2022.05.21,,,,,
naxos,28,m,,o,25.2,22.4,10:32,3,14,0,7,62.43,1,37.07998603992401,25.491250171683337,338,2022.05.21,,,,,
naxos,29,m,,w,28.6,37.8,10:36,8,2,10,7.3,61.57,0,37.08004595575046,25.490928306607838,334,2022.05.21,,,,,
naxos,30,f,y,w,33.4,18.8,9:56,5,2,0,6.8,67.15,1,37.08003739634958,25.490882709055473,334,2022.05.21,,,,,
naxos,31,m,,o,22.2,22.4,10:27,2,1,63,7.9,62.3,1,37.07995608199303,25.490837111503108,334,2022.05.21,,,,,
naxos,32,m,,w,32.4,22.9,10:31,0,5,0,3.8,54.31,1,37.07991328492825,25.49080492499556,334,2022.05.21,,,,,
naxos,33,m,,w,23.1,22.5,8:41,0,3,0,4.4,61.06,1,37.07976777472722,25.490694954428097,334,2022.05.21,,,,,
naxos,34,m,,o,16.1,20.4,9:01,1,2,0,8.1,62.07,0,37.08060445456913,25.492151393894726,339,2022.05.21,,,,,
naxos,35,m,,w,28.2,29.4,9:28,2,1,0,4.3,52.19,0,37.08000101888508,25.490689590010174,335,2022.05.21,,,,,
naxos,36,m,,o,29.4,18.4,9:05,2,11,0,9.1,67.1,0,37.08057273529051,25.491055599851205,339,2022.05.22,,,,,
naxos,37,f,y,o,33.5,19,9:05,13,1,0,7.6,64.83,0,37.081119675682544,25.491210493104944,342,2022.05.22,,,,,
naxos,38,m,,w,29.9,16.3,9:17,17,1,0,7.9,65.57,1,37.08055904082388,25.491132709045033,336,2022.05.22,,,,,
naxos,39,m,,o,33.9,22.6,9:24,2,18,0,9.3,63.31,1,37.08100429608985,25.491199764269098,339,2022.05.22,,,,,
naxos,40,f,y,o,26,21.5,9:37,3,10,0,6.9,69.13,0,37.080096255873165,25.49075804647806,338,2022.05.22,,,,,
naxos,41,m,,w,31.1,24.3,9:41,9,0,0,9.2,66.1,1,37.08067313606339,25.491144264269085,336,2022.05.22,,,,,
naxos,42,m,,w,30.3,29,10:10,13,3,0,6.6,60.73,1,37.08063461907049,25.49135884098608,338,2022.05.22,,,,,
naxos,43,m,,w,30.3,30.3,9:55,6,3,0,4.1,52.54,1,37.08065175557525,25.49157169310495,344,2022.05.22,,,,,
naxos,44,m,,w,28.8,26.3,10:05,4,10,0,9,64.05,1,37.08056616220692,25.491662888209678,344,2022.05.22,,,,,
naxos,45,f,y,w,27.6,24.8,10:12,7,1,0,7.7,59.18,0,37.080814175829126,25.49111378206013,338,2022.05.22,,,,,
naxos,46,m,,o,22.4,34.7,10:10,10,8,0,7,67.07,1,37.08053637596242,25.491038528687035,339,2022.05.22,,,,,
naxos,47,m,,w,30,28.6,10:18,4,5,0,5.9,59.55,1,37.08062609542391,25.491146946478047,339,2022.05.22,,,,,
naxos,48,m,,o,30.9,25.9,10:25,2,32,23,10.8,72.26,1,37.08037609556508,25.491013410896006,337,2022.05.22,,,,,
naxos,49,m,,w,31.6,27.6,10:24,0,0,0,10.1,64.81,1,37.07988465526638,25.490649628687038,337,2022.05.22,,,,,
naxos,50,f,y,w,35.5,31.5,10:36,11,0,0,7.4,65.49,1,37.07981404002996,25.490504789403065,337,2022.05.22,,,,,
naxos,51,f,y,w,31.3,34,10:53,11,0,0,7.1,66.13,1,37.0802073558136,25.49094708206015,335,2022.05.22,,,,,
naxos,52,m,,y,35.4,33.9,10:55,1,7,0,7.6,65.69,1,37.08012181601039,25.49090499310493,336,2022.05.22,,,,,
naxos,53,m,,y,26.3,25.6,11:02,4,1,0,9.2,66.47,1,37.08007473934072,25.490835255671904,336,2022.05.22,,,,,
naxos,54,m,,o,33.5,19.3,11:05,6,1,0,7.8,63.9,0,37.07921665491157,25.49014592796257,330,2022.05.22,,,,,
naxos,55,m,,w,37.1,25.2,11:23,9,10,0,11.3,68.5,1,37.07988251541168,25.49066401764221,335,2022.05.22,,,,,
naxos,56,m,,o,34,34.1,11:32,10,7,0,8.6,69.13,1,37.07965817569494,25.49042206426909,334,2022.05.22,,,,,
naxos,57,m,,w,40,45.7,11:33,5,4,0,8.5,68,1,37.07966673513864,25.490577632388913,334,2022.05.22,,,,,
naxos,58,m,,o,28,19.9,9:50,3,11,0,8.2,64.63,1,37.079313657284054,25.49025040289549,334,2022.05.22,,,,,
naxos,59,m,,o,30.1,24.5,8:39,8,10,0,8.4,70.2,1,37.080978767600854,25.492349392698134,374,2022.05.23,,,,,
naxos,60,m,,o,32.4,28.1,8:44,5,25,0,7,62.01,1,37.080596684787494,25.492145630348297,366,2022.05.23,,,,,
naxos,61,f,y,y,24.8,18.5,8:53,4,0,0,5.7,59.31,1,37.08010910922896,25.49089426386258,334,2022.05.23,,,,,
naxos,62,f,n,y,33.1,41.2,8:55,1,1,10,3.5,51.09,1,37.08023732786924,25.49073829269811,344,2022.05.23,,,,,
naxos,63,m,,w,32.8,37.6,9:00,2,0,0,5.6,62.45,0,37.08000656875344,25.490588663862567,335,2022.05.23,,,,,
naxos,64,f,n,w,32.6,23.7,9:08,12,1,0,3.8,58.92,1,37.07991460943751,25.49066035711592,334,2022.05.23,,,,,
naxos,65,m,,y,32.6,30.8,9:05,4,0,0,6.9,63.75,1,37.07999038662171,25.4909036501598,334,2022.05.23,,,,,
naxos,66,m,,o,30.4,22.6,9:15,4,14,0,6.8,70.57,1,37.08019239490538,25.490735610884744,344,2022.05.23,,,,,
naxos,67,m,,o,32.5,20.5,9:29,2,0,0,7.8,71.83,1,37.079841976295675,25.490732928675868,333,2022.05.23,,,,,
naxos,68,f,n,y,35.2,34.8,9:30,0,0,0,3.5,52.01,0,37.0799637755052,25.490874510884755,334,2022.05.23,,,,,
naxos,69,m,,y,34.4,33.3,9:35,9,1,0,7.5,64.16,0,37.07992741610914,25.490821693093636,333,2022.05.23,,,,,
naxos,70,f,n,y,34.3,30.2,10:46,15,0,0,6.3,62.26,1,37.07984625600726,25.49073561088476,333,2022.05.23,,,,,
naxos,71,f,y,o,30.8,36.6,10:47,1,11,0,7.2,67.7,1,37.07998933563635,25.49066938204917,334,2022.05.23,,,,,
naxos,72,f,y,w,44.9,41.7,9:13,2,4,0,5.9,69.6,1,37.0798195315954,25.490254141515166,335,2022.05.24,,,,,
naxos,73,m,,y,31.7,25.3,9:05,5,8,0,7.5,65.48,0,,,,2022.05.24,,,,,
naxos,74,f,y,w,30,25.2,9:50,7,0,0,4,56.4,0,,,,2022.05.24,,,,,
naxos,75,f,y,y,33.8,38.2,9:40,6,0,0,7.4,61.04,0,,,,2022.05.24,,,,,
naxos,76,m,,y,34.2,27,9:16,4,6,0,9.1,65.88,1,,,,2022.05.24,,,,,
naxos,77,f,,w,32.9,33.6,9:20,2,0,0,5,54.28,0,,,,2022.05.24,,,,,
naxos,78,m,,o,22.9,27,9:16,2,14,0,8.5,66.83,0,,,,2022.05.24,,,,,
naxos,79,f,y,y,31.7,26.2,9:32,1,0,0,6.2,63.39,1,,,,2022.05.24,,,,,
naxos,80,m,,o,36.2,33.6,9:56,2,33,0,9,66.2,1,,,,2022.05.24,,,,,
naxos,81,f,y,y,32.8,22.6,8:52,2,0,0,5.1,59.19,0,37.079983987267674,25.490952355217296,335,2022.05.24,,,,,
naxos,82,f,y,w,34.7,18.8,10:09,9,13,0,6,64.81,1,,,,2022.05.24,,,,,
naxos,83,f,y,y,35.8,39.1,10:21,5,0,0,3.9,52.36,0,,,,2022.05.24,,,,,
naxos,84,f,y,w,39.3,39,10:10,4,0,0,7.9,60.44,1,,,,2022.05.24,,,,,
naxos,85,m,,o,30.1,24.5,11:02,1,6,0,7.8,65.67,1,,,,2022.05.24,,,,,
naxos,86,m,y,y,34,24.7,10:55,4,22,0,9.1,70.94,0,,,,2022.05.24,,,,,
naxos,87,f,y,y,35.9,26.3,11:04,8,11,0,5.6,59.16,1,,,,2022.05.24,,,,,
naxos,88,f,y,o,33.4,31.1,11:22,7,8,0,5.9,62.71,0,,,,2022.05.24,,,,,
naxos,89,m,,y,28.9,23,7:44,1,0,0,8.1,67.23,1,,,,2022.05.28,,,,,
naxos,90,f,y,y,28.9,24.2,7:42,6,0,0,5.6,68.05,1,,,,2022.05.28,,,,,
naxos,92,m,,o,27.7,30.2,8:09,3,0,0,6.7,62.03,0,,,,2022.05.28,,,,,
naxos,93,m,,w,29.4,24.1,8:11,8,2,0,9.1,69.65,1,,,,2022.05.28,,,,,
naxos,94,m,,y,29.4,22.8,8:15,7,1,0,8.1,68.6,0,,,,2022.05.28,,,,,
naxos,95,m,,w,32,22.9,8:19,4,0,0,5.1,57.94,0,,,,2022.05.28,,,,,
naxos,96,m,,o,34.1,25.8,8:23,4,11,0,8,67.67,1,,,,2022.05.28,,,,,
naxos,97,m,,w,35.2,30.1,8:30,3,4,0,8.1,67.23,0,,,,2022.05.28,,,,,
naxos,98,m,,o,34.6,29.2,8:44,4,12,0,11,70.38,0,,,,2022.05.28,,,,,
naxos,99,m,,o,34.1,35.7,9:02,3,7,41,8.5,65.8,0,,,,2022.05.28,,,,,
naxos,100,f,y,y,32.5,30.2,8:32,1,5,0,6.7,63.76,1,,,,2022.05.28,,,,,
naxos,101,m,,y,33.5,37.3,9:13,6,1,0,8.2,69.01,0,,,,2022.05.28,,,,,
naxos,102,m,,o,34.2,29.2,9:32,2,4,0,8,62.35,1,,,,2022.05.28,,,,,
naxos,103,m,,o,33.5,28.5,9:39,5,5,0,8.9,67.82,1,,,,2022.05.28,,,,,
naxos,104,m,,w,36.7,27.1,9:13,11,5,0,8.8,65.36,1,,,,2022.05.28,,,,,
naxos,105,f,y,w,33.4,32,9:51,15,3,8,5.5,62.83,1,,,,2022.05.28,,,,,
naxos,107,m,,y,33.2,33.3,9:58,2,2,0,8.9,71.64,0,,,,2022.05.28,,,,,
naxos,108,f,n,y,33.7,37.8,10:02,5,3,0,4.4,56.56,1,,,,2022.05.28,,,,,
naxos,109,m,,y,34.1,38,10:08,3,0,22,7.8,62.07,1,,,,2022.05.28,,,,,
naxos,110,m,,o,35.3,37.7,10:17,1,17,0,9,66.61,0,,,,2022.05.28,,,,,
naxos,111,f,n,w,34.2,31.5,10:35,5,2,0,4.9,62.13,1,,,,2022.05.28,,,,,
naxos,112,m,,w,34.7,34,10:41,14,0,0,8.3,66.88,0,,,,2022.05.28,,,,,
naxos,114,m,,w,33.1,27.6,8:26,10,3,0,4.6,55.93,1,,,,2022.05.29,,,,,
naxos,116,m,,y,28.5,26.3,8:36,2,0,0,6.2,65.64,0,,,,2022.05.29,,,,,
naxos,117,m,,w,26.1,32.1,8:42,8,2,0,6.1,61.81,1,,,,2022.05.29,,,,,
naxos,118,m,,w,27.3,26.3,8:37,10,0,0,8.8,64.81,0,,,,2022.05.29,,,,,
naxos,119,m,,y,30.1,30.8,8:44,2,0,0,8.6,72.43,1,,,,2022.05.29,,,,,
naxos,120,m,,o,29.5,28.4,8:43,8,8,18,8.7,65.85,1,,,,2022.05.29,,,,,
naxos,121,m,,w,31.3,25,8:50,11,1,0,5,56.92,1,,,,2022.05.29,,,,,
